도굴,7.48,44.18,114분
삼진그룹 영어토익반,8.46,13.62,110분
내가 죽던 날,8.07,12.77,116분
극장판 바이올렛 에버가든,9.64,2.69,140분
극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,8.27,1.93,45분
마리 퀴리,8.38,1.92,110분
노트북,9.05,1.75,123분
요가학원:죽음의쿤달리니,6.93,1.46,93분
봉쇄수도원 카르투시오,0.00,1.45,96분
택스 콜렉터,5.21,1.27,95분
킹덤 오브 헤븐: 디렉터스 컷,8.59,1.1,189분
애비규환,7.81,1.09,108분
추억의 검정고무신,0.00,1.06,80분
나이스 걸 라이크 유,7.31,0.98,94분
페이트 스테이 나이트 헤븐즈필 III.스프링 송,9.18,0.89,122분
안티고네,10.00,0.87,109분
윤희에게,8.99,0.81,105분
맹크,7.56,0.71,131분
테넷,8.28,0.62,150분
밤의 문이 열린다,7.48,0.6,90분
미스터트롯: 더 무비,8.85,0.49,
증발,9.70,0.36,115분
마틴 에덴,8.72,0.34,129분
부활: 그 증거,9.53,0.32,99분
구직자들,7.75,0.27,83분
걸후드,8.34,0.25,113분
피아니스트의 마지막 인터뷰,0.00,0.25,97분
마이 리틀 포니 : 레인보우 로드 트립,8.10,0.21,60분
얼론,8.63,0.21,92분
페뷸러스,9.08,0.12,109분
패왕별희 디 오리지널,9.32,0.11,171분
소년시절의 너,9.40,0.11,135분
위플래쉬,8.79,0.11,106분
교실 안의 야크,9.46,0.1,109분
코마,8.46,0.09,111분
극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,8.16,0.09,96분
타오르는 여인의 초상,9.06,0.09,121분
고령가 소년 살인사건,8.62,0.09,237분
밥정,9.56,0.08,82분
아치와 씨팍,7.59,0.08,90분
엑설런트 어드벤쳐 3,0.00,0.08,91분
담쟁이,8.23,0.07,99분
남과 여: 여전히 찬란한,8.61,0.07,90분
담보,8.88,0.06,113분
도쿄의 밤하늘은 항상 가장 짙은 블루,8.14,0.06,108분
베이비티스,7.92,0.06,117분
극장판 미니특공대: 햄버거괴물의 습격,8.51,0.06,86분
아가씨,7.14,0.05,144분
남매의 여름밤,8.99,0.05,104분
웰컴 투 X-월드,8.40,0.05,81분
하나 그리고 둘,8.66,0.05,173분
포드 V 페라리,9.49,0.04,152분
엠티맨,0.00,0.04,137분
올드보이,9.04,0.04,120분
힐빌리의 노래,8.57,0.04,116분
복수는 나의 것,8.37,0.04,120분
로미오와 줄리엣,8.03,,120분
박쥐,6.28,0.03,133분
작은 아씨들,8.84,0.03,135분
친절한 금자씨,7.50,0.03,112분
극장판 엉덩이 탐정: 텐텐마을의 수수께끼,8.42,0.02,61분
문라이트,8.07,0.02,111분
타이페이 스토리,7.94,0.02,119분
불의 전차,8.26,0.02,123분
잠수종과 나비,8.65,0.02,111분
젊은이의 양지,8.61,0.02,114분
다만 악에서 구하소서 파이널컷,7.80,,114분
디어 마이 지니어스,9.97,0.02,80분
테슬라,4.31,0.02,102분
레이니 데이 인 뉴욕,5.47,0.02,92분
공포분자,8.61,0.02,109분
몽마르트 파파,9.49,0.02,83분
도망친 여자,7.30,0.02,77분
마치다군의 세계,7.75,0.02,120분
러브라인,9.33,0.02,60분
작가 미상,9.09,0.02,189분
다시 만난 날들,9.39,0.02,100분
알피니스트 - 어느 카메라맨의 고백,9.94,0.01,90분
너의 이름은.,8.78,0.01,106분
부니베어: 원시시대 대모험,6.46,0.01,90분
날씨의 아이,7.98,0.01,112분
프랑스여자,7.38,0.01,89분
피아니스트의 전설,9.25,0.01,121분
1917,8.86,0.01,119분
렛 힘 고,7.45,0.01,114분
톰보이,9.20,0.01,82분
메기,8.30,0.01,89분
야구소녀,8.19,0.01,105분
싸이보그지만 괜찮아,5.13,0.01,105분
위로공단,8.76,0.01,95분
그린랜드,7.02,0.01,119분
21 브릿지: 테러 셧다운,7.92,0.01,99분
황무지 5월의 고해,6.86,0.01,122분
